year,latitude,longitude,notes
1858,41.02485687791597,28.974872100955697,
1867,41.02592019364944,28.973872055307684,
1876,41.03388873920039,28.978055853364932,
1905,41.01471650321313,28.97232955430877,
1907,41.02594948355828,28.976637994073403,
1928,41.0321973899915,28.945559455737634,
1968,41.016910281179165,28.948110846368117,
1969,41.01793053189525,28.94677330547392,