year,latitude,longitude,notes
1566,47.37013008874929,8.544886757381464,,
1593,47.370885977351676,8.541129039372516,,
1689,47.37289180996177,8.545091249061413,,
1757,47.3701067442549,8.541663831298322,,7878
1912,47.37145245655605,8.54400206481939,,
1915,47.37168093800922,8.536465089175993,,
