year,latitude,longitude,notes,external
1571,51.05809618232594,-1.3151056291137102,TODO,1095399
1808,50.87096458842436,-1.3999133497329983,TODO,1094394
1814,50.78452750803067,-1.1487380085479326,TODO,1276306
1817,51.19770289458321,-1.0566829731793117,TODO,1178883
1822,50.896339334705,-1.403120282907146,,1179250
1885,50.89936603233146,-1.4039211048775608,,
1894,50.89883169479219,-1.4037185809319315,,1092012
1921,51.17625403371545,-1.517646680607853,TODO,1230472
1932,50.909124743493294,-1.4045973698397825,,