year,latitude,longitude,notes,external
1510,51.626179068728575,0.41807275241620334,,1122269
1540,51.892951133924825,0.4122926085286375,TODO,1112758
1565,51.87269479032295,0.6887281513049,TODO,1169046
1590,51.87922004189187,0.5517011000440238,TODO,1338242
1596,51.85654244827137,0.4334736633516801,TODO,1308644
1621,51.587047369099224,0.6023481966184953,,1112678
1649,51.825569236223785,1.1429451357107274,TODO,1111509
1672,51.97819769862175,0.6297121235781475,TODO,1123084
1802,51.561277725333824,0.600576074555862,,
1810,52.02148402618786,0.2409017686686285,TODO,1196179
1884,51.6336270227125,0.14665812904769637,,
1903,51.62758868320747,0.4194455310446117,,
1907,51.62807392369522,0.1873278584975566,,
1909,51.65995205284452,0.3421379694884171,,
1928,51.62905409026724,0.13397757368828073,,
1935,51.55932921419081,0.5970899938575127,,
