year,latitude,longitude,notes,external
1683,52.094324829410105,0.15509465649662743,TODO,1309380
1687,52.1016511106486,0.10279297224495813,TODO,1165452
1688,52.20543738481224,0.11951113503586944,TODO,1331862
1741,52.194936604492064,0.26696295812908866,TODO,1317803
1838,52.20043824222749,0.13725578457550752,,
1841,52.19754727553914,0.129220320893365,,1349075
1867,52.20375905138928,0.11768686954602431,,1122620
1883,52.19922310570112,0.13916042863890138,,
1885,52.20026790837453,0.13654690569966862,,
1886,52.19838701939176,0.1447122607388116,,
1887,52.19876864156989,0.14497256822289184,,
1892,52.20060986303926,0.13570436244756,,
1897,52.19929885582522,0.13997428781894014,,1126141
1898,52.19833400021642,0.14469214417255186,,
1913,52.2068823459644,0.12153695026033852,,1265198
1915,52.19905462941954,0.1401635173472679,,
1933,52.202136208265934,0.12468950748600041,,
1934,52.204081250716754,0.12281798556582364,,
1995,52.20196419460546,0.13274595982603526,,
