year,latitude,longitude,notes,external
1520,51.266855085866226,0.07462773329547236,,1244141
1526,51.276032326338395,1.3406467341966737,TODO,1069576
1549,51.244124723789355,0.961133511902956,TODO,1362756
1564,51.278286013669266,1.3361504276118124,TODO,1069546
1592,51.27746919344422,1.3385027309759503,TODO,1069542
1593,51.1550392524119,0.20072145725250426,TODO,1243345
1620,51.27262956643476,1.2150647912214991,,1070119
1657,51.277420295357494,1.0921518476022438,,1097019
1691,51.27961057924578,1.1819422191477025,,1085619
1725,51.27615410765694,1.170241663356693,,1051628
1733,51.27515051448413,1.1678365825426007,,1085566
1758,51.27410241042255,1.215212565167261,,1281636
1784,51.275760270114404,1.2157341938253023,,1070125
1891,51.264950655994014,0.06773493277347942,,
1900,51.275979830007365,0.10642078368862186,,
1907,51.27809531661953,0.11113537632187857,,
1914,51.275955401840314,1.0855597043432672,,
1955,51.279387213941064,1.0861043838878168,,
