year,latitude,longitude,notes,external
1624,52.11345563318507,-0.8257492321840235,TODO,1115925
1732,51.70344245997987,-0.6164157886797024,,1158414
1845,51.70405246805514,-0.6155454189707236,,
1890,51.63185374340803,-0.5703936283144048,,
1898,51.70566833992258,-0.6122235697062884,,
1899,51.61712794628434,-0.6054715556842695,,
1900,51.63018368255491,-0.5754142408107754,,
1905,51.632015196106785,-0.5709131934566921,,
1910,51.60920046844109,-0.6461965753231689,,
1914,51.61398113337143,-0.644554923326663,,
1922,51.613258587643465,-0.6427076493075105,,1246220
2004,51.589681104685724,-0.5515117255768285,,
2022,51.62597061899684,-0.5891999980015298,,
2024,51.630069224440284,-0.5764845847960431,,
