year,latitude,longitude,notes,external
1865,38.72110161580647,-9.134935103822784,,75026
1883,38.714662991711116,-9.130844043080163,,
1912,38.73167621166924,-9.148758359263605,,
1917,38.73254158177424,-9.147079379223277,,
